id,model_name,user_type,geo,product_business,feature_name,description,primary_category,feature_type,feature_subtype,feature_l3,top_20_50,shap_rank
1,Nira_Fraud,All,India,Term loans,25%_salary_district,25 percentile of salary in users' district previous month,User-Reported Data,Questionnaire,Employment & Income,,,
2,Nira_Fraud,All,India,Term loans,50%_salary_state,25 percentile of salary of state of user previous month,User-Reported Data,Questionnaire,Employment & Income,,,
3,Nira_Fraud,All,India,Term loans,50%_state_collar_income,50 percentile of salary of state and collar of user reported state and collar previous month,User-Reported Data,Questionnaire,Employment & Income,,top20,2
4,Nira_Fraud,All,India,Term loans,balancecheckstatus_Balance Verified,Balance sms (of user’s pdf/netbanking chosen bank) matches with balance of bank statement,Device Data,SMS,SMS Analysis,,top20,3
5,Nira_Fraud,All,India,Term loans,balancecheckstatus_No matches found,Transaction SMS of users' bank are available but no match is found between SMS balance and bank statement balance,Device Data,SMS,SMS Analysis,,top20,13
6,Nira_Fraud,All,India,Term loans,balancecheckstatus_Transaction SMSs found,"Transaction SMS found but they do not have balance mentioned ex, HDFC, ICICI)",Device Data,SMS,SMS Analysis,,top20,20
7,Nira_Fraud,All,India,Term loans,"bankname_HDFC Bank, India",If users' bank HDFC,Cash Flow,Credit/Loan History,Account Info,,top20,12
8,Nira_Fraud,All,India,Term loans,"bankname_ICICI Bank, India",If users' bank is ICICI,Cash Flow,Credit/Loan History,Account Info,,top20,19
9,Nira_Fraud,All,India,Term loans,"bankname_Yes Bank, India",If users' bank is of any one of them,Cash Flow,Credit/Loan History,Account Info,,,
10,Nira_Fraud,All,India,Term loans,bs_upload_type_net_banking,If method of BS upload was PDF or netbanking,Platform Data,User Engagement,Navigation & Engagement,Upload type,top20,7
11,Nira_Fraud,All,India,Term loans,bs_uploadtype_pdf_uploaded,Method of BS upload,Platform Data,User Engagement,Navigation & Engagement,Upload type,,
12,Nira_Fraud,All,India,Term loans,consumer_loans,Count of personal loans in Bureau (closed & open),Bureau,Credit/Loan History,Loan Counts,,top20,15
13,Nira_Fraud,All,India,Term loans,deviation_from_50%_tier_salary,"Deviation of users' salary from 50% of users city’s tier (If user is of Tier I city), 50 percentile is calculated by getting salaries of all users’ from all Tier I cities previous month",User-Reported Data,Questionnaire,Employment & Income,,top20,5
14,Nira_Fraud,All,India,Term loans,diff_user_address_seconds,Difference in time taken to move from signup to address screen,Platform Data,User Engagement,Navigation & Engagement,,top20,11
15,Nira_Fraud,All,India,Term loans,difference_in_experian_address_in_minutes,Time taken to move from address screen to experian screen during user app journey in minutes,Platform Data,User Engagement,Navigation & Engagement,,top20,8
16,Nira_Fraud,All,India,Term loans,districtwise_high_salary_rejections,"High salary rejections (>30,000) in users district previous week",Platform Data,Derived Features,Overall Application Velocity,,,
17,Nira_Fraud,All,India,Term loans,districtwise_total_previous_month_rejections,Total rejections in users district previous month,Platform Data,Derived Features,Overall Application Velocity,,,
18,Nira_Fraud,All,India,Term loans,fifth_balance,Median balance on 5th of month,Platform Data,Derived Features,,,,
19,Nira_Fraud,All,India,Term loans,high_salary_statewise_rejections,"High salary rejections (>30,000) in users state previous week",Platform Data,Derived Features,Overall Application Velocity,,,
20,Nira_Fraud,All,India,Term loans,high_salary_tierwise_rejections,"High salary rejections (>30,000) in users tier previous week",Platform Data,Derived Features,Overall Application Velocity,,,
21,Nira_Fraud,All,India,Term loans,job__blue_collar,Is user a blue collar worker,User-Reported Data,Questionnaire,Employment & Income,,,
22,Nira_Fraud,All,India,Term loans,job__grey_collar,Is user a grey collar worker,User-Reported Data,Questionnaire,Employment & Income,,,
23,Nira_Fraud,All,India,Term loans,job__Others,If user does not fall in any of recognised collar type,User-Reported Data,Questionnaire,Employment & Income,,,
24,Nira_Fraud,All,India,Term loans,job__white_collar,Is user a white collar worker,User-Reported Data,Questionnaire,Employment & Income,,,
25,Nira_Fraud,All,India,Term loans,Male,Gender of user,User-Reported Data,Questionnaire,Personal Information,,top20,16
26,Nira_Fraud,All,India,Term loans,Married,If user is married,User-Reported Data,Questionnaire,Personal Information,,,
27,Nira_Fraud,All,India,Term loans,monthlyincome,As mentioned by user and identified in bs summary,User-Reported Data,Questionnaire,Employment & Income,,,
28,Nira_Fraud,All,India,Term loans,most_recent_bureau_loan_data,days since latest loan in bureau is availed,Bureau,Credit/Loan History,,,top20,18
29,Nira_Fraud,All,India,Term loans,personal_loans,Count of personal loans in Bureau (closed & open),Bureau,Credit/Loan History,Loan Counts,,top20,1
30,Nira_Fraud,All,India,Term loans,state_zone_east,"If user belongs in east zone of India (West Bengal, Orissa, Jharkhand)",User-Reported Data,KYC/Identity,Location,,,
31,Nira_Fraud,All,India,Term loans,state_zone_north,"If users' state lies in north zone (MP,Delhi,Punjab,Haryana,UP,Bihar,Chattisgarh)",User-Reported Data,KYC/Identity,Location,,top20,6
32,Nira_Fraud,All,India,Term loans,state_zone_north-east,If users' state zone is in north-east of India,User-Reported Data,KYC/Identity,Location,,,
33,Nira_Fraud,All,India,Term loans,state_zone_south,"If users state in south zone (Karnataka, Goa, Kerala, Tamil Nadu, Andhra Pradesh, Lakshdweep, Andaman and Nicobar)",User-Reported Data,KYC/Identity,Location,,top20,9
34,Nira_Fraud,All,India,Term loans,state_zone_west,"If user belongs in west zone of India (Gujarat, Maharashtra, Rajasthan, Diu&Daman)",User-Reported Data,KYC/Identity,Location,,,
35,Nira_Fraud,All,India,Term loans,statewise_fraud_cnt,Count of fraud users in users state in previous month,Platform Data,Derived Features,Fraud count,,,
36,Nira_Fraud,All,India,Term loans,statewise_total_previous_month_rejections,Total rejections in users state precious month,Platform Data,Derived Features,Overall Application Velocity,,,
37,Nira_Fraud,All,India,Term loans,tenth_balance,Median balance of transactions on tenth of month,Cash Flow,Balances,,,top20,4
38,NiraV3_All,All,India,Term loans,declared_income,,User-Reported Data,Questionnaire,Employment & Income,,top20,1
39,NiraV3_All,All,India,Term loans,latest_closed_loan,Latest Closed Loan,Loan Activity,Credit/Loan History,"Collections, Recoveries, Repayments",,top20,2
40,NiraV3_All,All,India,Term loans,max_tradeline_seasoning_tls_opened_in_l36m_account_type_pl_original_amount_gte10k,max tradeline seasoning of account type pl and original amount gte 10k and opened in L36M,Bureau,Credit/Loan History,Tradeline analysis,,top20,3
41,NiraV3_All,All,India,Term loans,latest_overdue_sms,Latest overdue SMS,Device Data,SMS,Banking data,Overdue SMS,top20,4
42,NiraV3_All,All,India,Term loans,max_original_amount_closed_accounts_account_type_pl_original_amount_lte50k,max original amount of account type pl and original amount lte 50k and account closed,Bureau,Credit/Loan History,Tradeline analysis,,top20,5
43,NiraV3_All,All,India,Term loans,min_bank_credit_amount_sms_in_l1m_amount_lte1k,min of bank credit amount amount lte 1k and SMS in L1M,Device Data,SMS,Banking data,Credit SMS,top20,6
44,NiraV3_All,All,India,Term loans,num_closed_accounts_original_amount_gte25k,Number of original amount gte 25k TLs account closed,Bureau,Credit/Loan History,Tradeline analysis,,top20,7
45,NiraV3_All,All,India,Term loans,sum_original_amount_live_accounts,sum original amount of account live,Bureau,Credit/Loan History,Tradeline analysis,,top20,8
46,NiraV3_All,All,India,Term loans,earliest_enq_with_enq_amount_lte20k,Earliest enquiry with enquiry amount LTE 20K,Bureau,Credit/Loan History,Inquiries,,top20,9
47,NiraV3_All,All,India,Term loans,sum_paid_emi_amount,Sum of paid EMI amount,Device Data,SMS,Banking data,Paid EMI SMS,top20,10
48,NiraV3_All,All,India,Term loans,latest_enq,Latest enquiry,Bureau,Credit/Loan History,Inquiries,,top20,11
49,NiraV3_All,All,India,Term loans,sum_original_amount,Sum of original_amount,Bureau,Credit/Loan History,Tradeline analysis,,top20,12
50,NiraV3_All,All,India,Term loans,earliest_rejection_sms,Earliest rejection SMS,Device Data,SMS,Banking data,Rejection SMS,top20,13
51,NiraV3_All,All,India,Term loans,earliest_bank_credit_sms_in_l3m_amount_gte40k,Earliest bank credit SMS amount lte 40k and SMS in L3M,Device Data,SMS,Banking data,Credit SMS,top20,14
52,NiraV3_All,All,India,Term loans,sum_bank_debit_amount_sms_in_l1m_amount_lte1k,sum of bank debit amount amount lte 1k and SMS in L1M,Device Data,SMS,Banking data,Debit SMS,top20,15
53,NiraV3_All,All,India,Term loans,max_dpd_sanctioned_amount_lte10k_l24m,Maximum DPD of TLs with sanctioned amount LTE 10K and payments in L24M,Bureau,Credit/Loan History,Delinquency Indicators,,top20,16
54,NiraV3_All,All,India,Term loans,sum_original_amount_tls_opened_in_l6m_original_amount_lte10k,sum original amount of original amount lte 10k TLs opened in L6M,Bureau,Credit/Loan History,Tradeline analysis,,top20,17
55,NiraV3_All,All,India,Term loans,max_tradeline_seasoning_live_accounts,max tradeline seasoning of account live,Bureau,Credit/Loan History,Tradeline analysis,,top20,18
56,NiraV3_All,All,India,Term loans,num_overdue_sms,Number of overdue,Device Data,SMS,Banking data,Overdue SMS,top20,19
57,NiraV3_All,All,India,Term loans,min_original_amount_tls_opened_in_l12m_account_type_pl_original_amount_lte50k,min original amount of account type pl and original amount lte 50k and opened in L12M,Bureau,Credit/Loan History,Tradeline analysis,,top20,20
58,NiraV3_All,All,India,Term loans,min_bank_debit_amount_amount_lte10k,min bank debit amount of amount lte 10k,Device Data,SMS,Banking data,Debit SMS,,21
59,NiraV3_All,All,India,Term loans,max_tradeline_seasoning_tls_opened_in_l24m,max tradeline seasoning of opened in L24M,Bureau,Credit/Loan History,Tradeline analysis,,,22
60,NiraV3_All,All,India,Term loans,earliest_bank_credit_amount_gte5k,Earliest bank credit SMS amount gte 5k,Device Data,SMS,Banking data,Credit SMS,,23
61,NiraV3_All,All,India,Term loans,latest_enq_with_enq_amount_lte20k_in_l36m,Latest enquiry with enquiry amount LTE 20K in L36M,Bureau,Credit/Loan History,Inquiries,,,24
62,NiraV3_All,All,India,Term loans,min_original_amount_tls_opened_in_l9m_account_type_pl,min original amount of account type pl TLs opened in L9M,Bureau,Credit/Loan History,Tradeline analysis,,,25
63,NiraV3_All,All,India,Term loans,min_enq_amount_with_enq_reason_13_in_l6m,Minimum enquiry amount with enquiry reason 13 in L6M,Bureau,Credit/Loan History,Inquiries,,,26
64,NiraV3_All,All,India,Term loans,latest_enq_with_enq_amount_gte50k,Latest enquiry with enquiry amount GTE 50K,Bureau,Credit/Loan History,Inquiries,,,27
65,NiraV3_All,All,India,Term loans,max_bank_debit_amount_amount_lte40k,max bank debit amount of amount lte 40k,Device Data,SMS,Banking data,Debit SMS,,28
66,NiraV3_All,All,India,Term loans,sum_bank_debit_amount_amount_gte10k,sum bank debit amount of amount gte 10k,Device Data,SMS,Banking data,Debit SMS,,29
67,NiraV3_All,All,India,Term loans,earliest_paid_emi_amount_gte10k,Earliest Paid EMI SMS amount gte 10k,Device Data,SMS,Banking data,Paid EMI SMS,,30
68,NiraV3_All,All,India,Term loans,min_enq_amount_with_enq_reason_13_and_enq_amount_lte100k_in_l9m,Minimum enquiry amount with enquiry reason 13 and enquiry amount LTE 100K in L9M,Bureau,Credit/Loan History,Inquiries,,,31
69,NiraV3_All,All,India,Term loans,max_paid_emi_amount_sms_in_l3m_amount_lte10k,max Paid EMI of amount lte 10k and SMS in L3M,Device Data,SMS,Banking data,Paid EMI SMS,,32
70,NiraV3_All,All,India,Term loans,sum_bank_debit_amount_sms_in_l3m_amount_lte500,sum of bank debit amount amount lte 500 and SMS in L3M,Device Data,SMS,Banking data,Debit SMS,,33
71,NiraV3_All,All,India,Term loans,sum_bank_debit_amount_sms_in_l2m_amount_lte500,sum of bank debit amount amount lte 500 and SMS in L2M,Device Data,SMS,Banking data,Debit SMS,,34
72,NiraV3_All,All,India,Term loans,min_tradeline_seasoning_live_accounts_account_type_pl,min tradeline seasoning of account type pl TLs account live,Bureau,Credit/Loan History,Tradeline analysis,,,35
73,NiraV3_All,All,India,Term loans,sum_current_balance_tls_opened_in_l3m_original_amount_lte10k,sum current balance of original amount lte 10k TLs opened in L3M,Bureau,Credit/Loan History,Tradeline analysis,,,36
